# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
4.500000000000000000e+01 1.315744011258897444e+03 1.280392446026618058e+00 0.000000000000000000e+00 1.280392446026618058e+00 0.000000000000000000e+00 8.394452332799168248e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.467894941927788662e-04
4.600000000000000000e+01 1.335199797332567414e+03 1.156457654041686878e+00 0.000000000000000000e+00 1.156457654041686878e+00 0.000000000000000000e+00 9.020149627196162589e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.759358659125089177e-04
4.700000000000000000e+01 1.354753733111158454e+03 1.021453596651990425e+00 0.000000000000000000e+00 1.021453596651990425e+00 0.000000000000000000e+00 9.674580214429868985e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.057369739356208387e-04
4.800000000000000000e+01 1.374429465104434257e+03 8.745060639532646896e-01 0.000000000000000000e+00 8.745060639532646896e-01 0.000000000000000000e+00 1.035741055584495363e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.361924226990916456e-04
4.900000000000000000e+01 1.394295251288520376e+03 7.145470945342908831e-01 0.000000000000000000e+00 7.145470945342908831e-01 0.000000000000000000e+00 1.106830787759191109e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.673015931977638770e-04
5.000000000000000000e+01 1.414454837364155765e+03 5.407403925508184050e-01 0.000000000000000000e+00 5.407403925508184050e-01 0.000000000000000000e+00 1.180796998674192855e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.990636557610615847e-04
5.100000000000000000e+01 1.434901341691943571e+03 3.528649358645117862e-01 0.000000000000000000e+00 3.528649358645117862e-01 0.000000000000000000e+00 1.257683448661587877e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.314775909814736731e-04
5.200000000000000000e+01 1.455529658627892331e+03 1.515679722527775164e-01 0.000000000000000000e+00 1.515679722527775164e-01 0.000000000000000000e+00 1.337510674932847199e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.645422162527456817e-04
5.300000000000000000e+01 1.476242274378776074e+03 -6.243433482187010775e-02 0.000000000000000000e+00 -6.243433482187010775e-02 0.000000000000000000e+00 1.420262526691415950e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.982562185543779918e-04
5.400000000000000000e+01 1.497053746762829633e+03 -2.889452574882635516e-01 0.000000000000000000e+00 -2.889452574882635516e-01 0.000000000000000000e+00 1.505932112923716593e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.326181922340827856e-04
5.500000000000000000e+01 1.518008508271012033e+03 -5.280527488702078109e-01 0.000000000000000000e+00 -5.280527488702078109e-01 0.000000000000000000e+00 1.594527854256852228e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.676266790725471852e-04
5.600000000000000000e+01 1.539246811193405847e+03 -7.804070571703737302e-01 0.000000000000000000e+00 -7.804070571703737302e-01 0.000000000000000000e+00 1.686005133154129532e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.003280212977752028e-03
5.700000000000000000e+01 1.560816775110301478e+03 -1.046342833715139031e+00 0.000000000000000000e+00 -1.046342833715139031e+00 0.000000000000000000e+00 1.780374611066760371e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.039577363976396628e-03
5.800000000000000000e+01 1.582602344812889669e+03 -1.325436568653419078e+00 0.000000000000000000e+00 -1.325436568653419078e+00 0.000000000000000000e+00 1.877683052949014331e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.076516782281648332e-03
5.900000000000000000e+01 1.604471865373806622e+03 -1.617267798615645402e+00 0.000000000000000000e+00 -1.617267798615645402e+00 0.000000000000000000e+00 1.977967329312053935e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.114097239346143039e-03
6.000000000000000000e+01 1.626476431464458301e+03 -1.922162218205823114e+00 0.000000000000000000e+00 -1.922162218205823114e+00 0.000000000000000000e+00 2.081120740353830656e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.152317668124388204e-03
6.100000000000000000e+01 1.648718391538827746e+03 -2.240676624352326396e+00 0.000000000000000000e+00 -2.240676624352326396e+00 0.000000000000000000e+00 2.187019264987382916e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.191177195139730624e-03
6.200000000000000000e+01 1.671251879859931478e+03 -2.573263119404910704e+00 0.000000000000000000e+00 -2.573263119404910704e+00 0.000000000000000000e+00 2.295569450909693276e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.230675169494134741e-03
6.300000000000000000e+01 1.694034762560636636e+03 -2.919524210085399751e+00 0.000000000000000000e+00 -2.919524210085399751e+00 0.000000000000000000e+00 2.406807546950323617e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.270811183500590536e-03
6.400000000000000000e+01 1.716984119549781553e+03 -3.278831429024374966e+00 0.000000000000000000e+00 -3.278831429024374966e+00 0.000000000000000000e+00 2.520792943717874990e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.311585087633363117e-03
6.500000000000000000e+01 1.740055099730963093e+03 -3.650688558633098157e+00 0.000000000000000000e+00 -3.650688558633098157e+00 0.000000000000000000e+00 2.637573175030972772e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.352996995260670942e-03
6.600000000000000000e+01 1.763295722619512844e+03 -4.035113540620503869e+00 0.000000000000000000e+00 -4.035113540620503869e+00 0.000000000000000000e+00 2.756999772136825566e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.395047281613251986e-03
6.700000000000000000e+01 1.786784649448886285e+03 -4.432249137326122579e+00 0.000000000000000000e+00 -4.432249137326122579e+00 0.000000000000000000e+00 2.878919838907781914e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.437736573887469886e-03
6.800000000000000000e+01 1.810584130634102394e+03 -4.842165008116499969e+00 0.000000000000000000e+00 -4.842165008116499969e+00 0.000000000000000000e+00 3.003178767321491582e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.481065734260655692e-03
6.900000000000000000e+01 1.834683361212855516e+03 -5.264638421696405501e+00 0.000000000000000000e+00 -5.264638421696405501e+00 0.000000000000000000e+00 3.129726513899406259e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.525035837224419022e-03
7.000000000000000000e+01 1.859069984342170528e+03 -5.699559249493511892e+00 0.000000000000000000e+00 -5.699559249493511892e+00 0.000000000000000000e+00 3.258541037470553681e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.569648139430189927e-03
7.100000000000000000e+01 1.883720621802166761e+03 -6.146929250267961997e+00 0.000000000000000000e+00 -6.146929250267961997e+00 0.000000000000000000e+00 3.389618277745206076e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.614904047854304626e-03
7.200000000000000000e+01 1.908671812725592417e+03 -6.607026915423022118e+00 0.000000000000000000e+00 -6.607026915423022118e+00 0.000000000000000000e+00 3.522929512795218154e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.660805082522248590e-03
7.300000000000000000e+01 1.933941649222454544e+03 -7.079982627993481437e+00 0.000000000000000000e+00 -7.079982627993481437e+00 0.000000000000000000e+00 3.658426860478488085e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.707352839745066757e-03
7.400000000000000000e+01 1.959444228978141155e+03 -7.564857071335678640e+00 0.000000000000000000e+00 -7.564857071335678640e+00 0.000000000000000000e+00 3.796003018488569025e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.754548954344889444e-03
7.500000000000000000e+01 1.985086225022588224e+03 -8.060376634748179114e+00 0.000000000000000000e+00 -8.060376634748179114e+00 0.000000000000000000e+00 3.935543263145739878e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.802395064566761481e-03
7.600000000000000000e+01 2.010759458454990181e+03 -8.565438540706047377e+00 0.000000000000000000e+00 -8.565438540706047377e+00 0.000000000000000000e+00 4.076910593077739398e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.850892779113029116e-03
7.700000000000000000e+01 2.036400326137965521e+03 -9.079088559792936053e+00 0.000000000000000000e+00 -9.079088559792936053e+00 0.000000000000000000e+00 4.219997728087030442e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.900043649692487006e-03
7.800000000000000000e+01 2.062086369924702012e+03 -9.601635263863096625e+00 0.000000000000000000e+00 -9.601635263863096625e+00 0.000000000000000000e+00 4.364682539519461613e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.949849149386106159e-03
7.900000000000000000e+01 2.087954565234166239e+03 -1.013368434183001199e+01 0.000000000000000000e+00 -1.013368434183001199e+01 0.000000000000000000e+00 4.510850335854658666e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.000310657309245163e-03
8.000000000000000000e+01 2.114119609361646781e+03 -1.067599003471047858e+01 0.000000000000000000e+00 -1.067599003471047858e+01 0.000000000000000000e+00 4.658386434956840461e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.051429451868069884e-03
8.100000000000000000e+01 2.140678760642379984e+03 -1.122891458685521471e+01 0.000000000000000000e+00 -1.122891458685521471e+01 0.000000000000000000e+00 4.807174888100712584e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.103206711301107250e-03
8.200000000000000000e+01 2.167637215687724165e+03 -1.179199513082883222e+01 0.000000000000000000e+00 -1.179199513082883222e+01 0.000000000000000000e+00 4.957109507450327968e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.155643523192936513e-03
8.300000000000000000e+01 2.194945589371139704e+03 -1.236474822770742321e+01 0.000000000000000000e+00 -1.236474822770742321e+01 0.000000000000000000e+00 5.108067983476501928e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.208740901391901060e-03
8.400000000000000000e+01 2.222576786523637566e+03 -1.294639330487124163e+01 0.000000000000000000e+00 -1.294639330487124163e+01 0.000000000000000000e+00 5.259935447569989986e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.262499811660430120e-03
8.500000000000000000e+01 2.250496287440624656e+03 -1.353652121280376264e+01 0.000000000000000000e+00 -1.353652121280376264e+01 0.000000000000000000e+00 5.412589616322375230e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.316921203040320232e-03
8.600000000000000000e+01 2.278677003320331551e+03 -1.413435139574198551e+01 0.000000000000000000e+00 -1.413435139574198551e+01 0.000000000000000000e+00 5.565930505954839180e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.372006046114861350e-03
8.700000000000000000e+01 2.307076989826813133e+03 -1.473932616564489706e+01 0.000000000000000000e+00 -1.473932616564489706e+01 0.000000000000000000e+00 5.719828434946719886e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.427755375043016365e-03
8.800000000000000000e+01 2.335669159031469917e+03 -1.535088785777103304e+01 0.000000000000000000e+00 -1.535088785777103304e+01 0.000000000000000000e+00 5.874161166888637320e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.484170333547775292e-03
8.900000000000000000e+01 2.364456134635151557e+03 -1.596855312026011475e+01 0.000000000000000000e+00 -1.596855312026011475e+01 0.000000000000000000e+00 6.028806483256295978e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.541252221552543593e-03
9.000000000000000000e+01 2.393433108775222081e+03 -1.659198720356497603e+01 0.000000000000000000e+00 -1.659198720356497603e+01 0.000000000000000000e+00 6.183597614422603472e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.599002542288245121e-03
9.100000000000000000e+01 2.422603744327083859e+03 -1.722063965800800034e+01 0.000000000000000000e+00 -1.722063965800800034e+01 0.000000000000000000e+00 6.338406128740459167e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.657423046938405756e-03
9.200000000000000000e+01 2.451968457850603500e+03 -1.785428565180538385e+01 0.000000000000000000e+00 -1.785428565180538385e+01 0.000000000000000000e+00 6.493086035191839578e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.716515776165131808e-03
9.300000000000000000e+01 2.481543562772581936e+03 -1.849241037944533517e+01 0.000000000000000000e+00 -1.849241037944533517e+01 0.000000000000000000e+00 6.647492541037628433e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.776283096136556664e-03
9.400000000000000000e+01 2.511323079901275833e+03 -1.913479622432945959e+01 0.000000000000000000e+00 -1.913479622432945959e+01 0.000000000000000000e+00 6.801503161655414464e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.836727728362818668e-03
9.500000000000000000e+01 2.541323307009297878e+03 -1.978092849409233267e+01 0.000000000000000000e+00 -1.978092849409233267e+01 0.000000000000000000e+00 6.954965722921380156e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.897852771534165355e-03
9.600000000000000000e+01 2.571538248501196904e+03 -2.043036684069167208e+01 0.000000000000000000e+00 -2.043036684069167208e+01 0.000000000000000000e+00 7.107742932042210304e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.959661714892299154e-03
9.700000000000000000e+01 2.601969328883920753e+03 -2.108267097869689977e+01 0.000000000000000000e+00 -2.108267097869689977e+01 0.000000000000000000e+00 7.259690093122201926e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.022158442495784421e-03
9.800000000000000000e+01 2.632625393138342133e+03 -2.173740068629704680e+01 0.000000000000000000e+00 -2.173740068629704680e+01 0.000000000000000000e+00 7.410655107665260477e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.085347227767762553e-03
9.900000000000000000e+01 2.663485565632089674e+03 -2.239404152205414178e+01 0.000000000000000000e+00 -2.239404152205414178e+01 0.000000000000000000e+00 7.560500760004206233e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.149232718828554045e-03
1.000000000000000000e+02 2.694566106207991197e+03 -2.305207910796763926e+01 0.000000000000000000e+00 -2.305207910796763926e+01 0.000000000000000000e+00 7.709112145908690872e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.213819914788307742e-03
1.010000000000000000e+02 2.725860756200935157e+03 -2.371099984064493782e+01 0.000000000000000000e+00 -2.371099984064493782e+01 0.000000000000000000e+00 7.856344099741379150e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.279114133725126098e-03
1.020000000000000000e+02 2.757369768141751592e+03 -2.437051587691206578e+01 0.000000000000000000e+00 -2.437051587691206578e+01 0.000000000000000000e+00 8.001974900788166867e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.345120973481642990e-03
1.030000000000000000e+02 2.789078307315073289e+03 -2.502982016019261735e+01 0.000000000000000000e+00 -2.502982016019261735e+01 0.000000000000000000e+00 8.146005130797419058e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.411846266425463785e-03
1.040000000000000000e+02 2.820986395151178385e+03 -2.568855139163664703e+01 0.000000000000000000e+00 -2.568855139163664703e+01 0.000000000000000000e+00 8.288138263837698805e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.479296029986356925e-03
1.050000000000000000e+02 2.853086625848852691e+03 -2.634612547631329349e+01 0.000000000000000000e+00 -2.634612547631329349e+01 0.000000000000000000e+00 8.428300650588176346e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.547476414305184705e-03
1.060000000000000000e+02 2.885371596380505707e+03 -2.700188408797869855e+01 0.000000000000000000e+00 -2.700188408797869855e+01 0.000000000000000000e+00 8.566344384046807869e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.616393649020105319e-03
1.070000000000000000e+02 2.917833908068202163e+03 -2.765539180104329375e+01 0.000000000000000000e+00 -2.765539180104329375e+01 0.000000000000000000e+00 8.702195866216737574e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.686053991049419512e-03
1.080000000000000000e+02 2.950458739672924821e+03 -2.830606467134958493e+01 0.000000000000000000e+00 -2.830606467134958493e+01 0.000000000000000000e+00 8.835632957264600851e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.756463674918845887e-03
1.090000000000000000e+02 2.983253562045407762e+03 -2.895324451842363800e+01 0.000000000000000000e+00 -2.895324451842363800e+01 0.000000000000000000e+00 8.966582109195475603e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.827628867684904415e-03
1.100000000000000000e+02 3.016203569038177193e+03 -2.959649605880078838e+01 0.000000000000000000e+00 -2.959649605880078838e+01 0.000000000000000000e+00 9.094821231526881711e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.899555629728424216e-03
1.110000000000000000e+02 3.049301391645523381e+03 -3.023530977198389991e+01 0.000000000000000000e+00 -3.023530977198389991e+01 0.000000000000000000e+00 9.220276825015959465e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.972249882861711434e-03
1.120000000000000000e+02 3.082547098439444653e+03 -3.086895333411989029e+01 0.000000000000000000e+00 -3.086895333411989029e+01 0.000000000000000000e+00 9.342875414416328406e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.045717386947684721e-03
1.130000000000000000e+02 3.115933338984568309e+03 -3.149706588744727043e+01 0.000000000000000000e+00 -3.149706588744727043e+01 0.000000000000000000e+00 9.462394981295251251e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.119963725201997336e-03
1.140000000000000000e+02 3.149452702546080218e+03 -3.211898717369298595e+01 0.000000000000000000e+00 -3.211898717369298595e+01 0.000000000000000000e+00 9.578687738708320243e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.194994299769680933e-03
1.150000000000000000e+02 3.183097509264443488e+03 -3.273419628621479660e+01 0.000000000000000000e+00 -3.273419628621479660e+01 0.000000000000000000e+00 9.691754187521326447e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.270814336187943316e-03
